Name,Type,County,Official_URL,ID,Vendor,API_Endpoint,Scrape_Target
Kalama,City,Cowlitz,https://www.cityofkalama.com/,kalama,MuniCode,https://www.cityofkalama.com/,https://www.cityofkalama.com/
Kelso,City,Cowlitz,https://www.kelso.gov/,kelso,CivicPlus/CivicWeb,https://www.kelso.gov/,https://www.kelso.gov/
Kenmore,City,King,https://www.kenmorewa.gov/,kenmore,Custom/Unknown,https://www.kenmorewa.gov/,Manual Review Required
Kennewick,City,Benton,https://www.go2kennewick.com/,kennewick,CivicPlus/CivicWeb,https://www.go2kennewick.com/,https://www.go2kennewick.com/
Kent,City,King,https://www.kentwa.gov/,kent,Custom/Unknown,https://www.kentwa.gov/,Manual Review Required
Kettle Falls,City,Stevens,https://www.cityofkettlefalls.org/,kettlefalls,Custom/Unknown,https://www.cityofkettlefalls.org/,https://www.cityofkettlefalls.org/citycouncil
Kirkland,City,King,https://www.kirklandwa.gov/Home,kirkland,Granicus,https://www.kirklandwa.gov/home,https://www.kirklandwa.gov/home
Kittitas,City,Kittitas,http://www.cityofkittitas.com/,kittitas,Custom/Unknown,http://www.cityofkittitas.com/,http://www.cityofkittitas.com/minutes.html
Krupp,City,Grant,,krupp,Unknown,None,None
La Center,City,Clark,https://ci.lacenter.wa.us/,lacenter,Custom/Unknown,https://ci.lacenter.wa.us/,https://ci.lacenter.wa.us/#
La Conner,City,Skagit,https://www.townoflaconner.org/,laconner,CivicPlus/CivicWeb,https://www.townoflaconner.org/,https://www.townoflaconner.org/
Lacey,City,Thurston,https://cityoflacey.org/,lacey,Custom/Unknown,https://cityoflacey.org/,https://cityoflacey.org/government/lacey-city-council/boards-commissions/
LaCrosse,City,Whitman,https://www.lacrossewa.us/,lacrosse,Custom/Unknown,https://www.lacrossewa.us/,Manual Review Required
Lake Forest Park,City,King,https://www.cityoflfp.gov/,lakeforestpark,CivicPlus/CivicWeb,https://www.cityoflfp.gov/,https://www.cityoflfp.gov/
Lake Stevens,City,Snohomish,https://www.lakestevenswa.gov/,lakestevens,CivicPlus/CivicWeb,https://www.lakestevenswa.gov/,https://www.lakestevenswa.gov/
Lakewood,City,Pierce,https://cityoflakewood.us/,lakewood,Custom/Unknown,https://cityoflakewood.us/,https://cityoflakewood.us/city-council-agendas/
Lamont,City,Whitman,,lamont,Unknown,None,None
Langley,City,Island,https://www.langleywa.org/,langley,Custom/Unknown,https://www.langleywa.org/,https://www.langleywa.org/government/city_council/agendas_minutes.php
Latah,City,Spokane,,latah,Unknown,None,None
Leavenworth,City,Chelan,https://cityofleavenworth.com/,leavenworth,Custom/Unknown,https://cityofleavenworth.com/,Manual Review Required
Liberty Lake,City,Spokane,https://www.libertylakewa.gov/,libertylake,CivicPlus/CivicWeb,https://www.libertylakewa.gov/,https://www.libertylakewa.gov/
